GW,CO,GFR_scale,CYP3A4,BW,V_fetus_mL
0,5.0,1.0,1.0,70.0,0.0
1,5.177,1.025,1.018,70.3,0.0
2,5.352,1.05,1.035,70.6,0.01
3,5.525,1.075,1.052,71.0,0.04
4,5.695,1.1,1.07,71.3,0.1
5,5.861,1.125,1.088,71.6,0.18
6,6.021,1.15,1.105,71.9,0.3
7,6.176,1.175,1.122,72.2,0.46
8,6.323,1.2,1.14,72.6,0.68
9,6.461,1.225,1.158,72.9,0.94
10,6.591,1.25,1.175,73.2,1.26
11,6.711,1.275,1.192,73.5,1.65
12,6.82,1.3,1.21,73.8,2.1
13,6.918,1.325,1.228,74.2,2.63
14,7.005,1.35,1.245,74.5,3.24
15,7.079,1.375,1.262,74.8,3.93
16,7.14,1.4,1.28,75.1,4.71
17,7.188,1.425,1.297,75.4,5.58
18,7.222,1.45,1.315,75.8,6.54
19,7.243,1.475,1.332,76.1,7.61
20,7.25,1.5,1.35,76.4,8.79
21,7.243,1.5,1.35,76.7,10.07
22,7.222,1.5,1.35,77.0,11.48
23,7.188,1.5,1.35,77.4,13.0
24,7.14,1.5,1.35,77.7,14.64
25,7.079,1.5,1.35,78.0,16.42
26,7.005,1.5,1.35,78.3,18.32
27,6.918,1.5,1.35,78.6,20.36
28,6.82,1.5,1.35,79.0,22.55
29,6.711,1.5,1.35,79.3,24.87
30,6.591,1.5,1.35,79.6,27.35
31,6.461,1.5,1.35,79.9,29.98
32,6.323,1.5,1.35,80.2,32.77
33,6.176,1.5,1.35,80.6,35.72
34,6.021,1.5,1.35,80.9,38.83
35,5.861,1.5,1.35,81.2,42.11
36,5.695,1.5,1.35,81.5,45.57
37,5.525,1.5,1.35,81.8,49.2
38,5.352,1.5,1.35,82.2,53.02
39,5.177,1.5,1.35,82.5,57.02
40,5.0,1.5,1.35,82.8,61.21
